area_type,availability,location,size,society,total_sqft,bath,balcony,park_faci,dist_mainroad,price
Built-up  Area,18-Jun,Whitefield,1 BHK,,905,1,1,0,135,55
Built-up  Area,Ready To Move,Nanjappa Layout,2 BHK,AnazaPl,1069,2,,1,61,55
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,,829,2,1,0,152,22.8
Built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1900,2,1,0,32,200
Built-up  Area,Ready To Move,Dodda Banaswadi,5 Bedroom,,3040Sq. Meter,5,1,1,164,140
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1300,3,2,1,144,60
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1115,2,1,1,119,33.45
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409,3,2,1,183,360
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2150,4,2,0,66,125
Super built-up  Area,19-Mar,Marathahalli,3 BHK,Unezes ,1305,2,1,1,22,69
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,GolusLi,1252,2,1,1,50,56.32
Plot  Area,Ready To Move,Hosakerehalli,5 Bedroom,,2400,5,,0,108,250
Plot  Area,18-Sep,Whitefield,2 Bedroom,,1200,2,1,0,86,46.13
Built-up  Area,Ready To Move,Koramangala,3 BHK,,1750,3,1,0,16,130
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,545,1,1,1,26,35
Plot  Area,Ready To Move,BEL Layout,2 Bedroom,,1375,2,1,0,158,105
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2,2,1,34,66.5
Plot  Area,Ready To Move,Attibele,4 Bedroom,,3640,4,1,1,123,275
Super built-up  Area,20-Dec,Akshayanagara East,3 BHK,,1693,3,2,1,86,108
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1160,2,1,0,119,41.75
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,3 Bedroom,,1200,3,0,0,73,200
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1255,2,2,1,166,79
Plot  Area,Ready To Move,KR Puram,4 Bedroom,,1000,4,1,0,200,75
Built-up  Area,Ready To Move,Bellari Road,2 BHK,Pralmat,900,2,1,0,117,45
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,Cerasy ,1700,3,2,0,45,90
Carpet  Area,Ready To Move,Indira Nagar,3 BHK,Go0rir,1875,3,1,0,117,180
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1700,3,2,1,127,88
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1749,3,2,1,177,115
Plot  Area,Ready To Move,Dasanapura,2 Bedroom,,1500,3,1,1,87,65
Super built-up  Area,Ready To Move,Varanasi,2 BHK,,1175,2,1,0,20,48
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280,2,1,1,170,60
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,Krllael,1200,2,2,0,63,50
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2,2,1,169,115
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,1,122,46
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2,0,1,64,66
Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,,1127,2,1,0,185,50
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,VKvenas,1210,2,1,0,32,102
Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,,600,2,1,1,46,23
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4190,4,3,1,94,380
Super built-up  Area,Ready To Move,Tata Nagar,2 BHK,Shensit,1364,2,2,1,50,70
Super built-up  Area,Ready To Move,Whitefield,4 BHK,ArsiaEx,2268,3,0,0,95,146
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,3 BHK,,1150,2,2,1,140,77.5
Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,,1146,2,1,0,115,39.5
Built-up  Area,Ready To Move,Magadi Road,2 BHK,DSellil,1345,2,2,1,61,55
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,1,59,41
Built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2,1,0,23,36
Built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1156,2,2,0,10,49.5
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ARvasV ,1247,2,1,0,117,59.8
Super built-up  Area,Ready To Move,Mangammanapalya,2 BHK,,1058,2,2,0,92,60
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,1,30,48
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,420,2,0,1,73,35
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,600,2,2,0,166,90
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1520,2,1,1,182,103
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1215,2,2,1,5,58.86
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,900,1,1,1,192,30
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2350,3,2,1,200,174
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1050,2,2,1,110,46
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1672,3,2,1,63,150
Plot  Area,Ready To Move,Laggere,5 Bedroom,,2800,5,2,1,134,125
Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,,1500,2,2,0,192,65
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,,1400,2,2,0,3,65
Plot  Area,18-May,Whitefield,4 Bedroom,Prtates,500Sq. Yards,4,2,0,71,378
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,2700,4,2,1,141,130
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,920,2,1,1,68,37.46
Plot  Area,18-Feb,Sarjapur  Road,3 Bedroom,Cetattu,1200,3,2,1,81,70
Built-up  Area,Ready To Move,Brindavan Nagar,3 BHK,Mancy R,1250,3,2,1,146,139
Super built-up  Area,18-Mar,Hosakerehalli,3 BHK,SoageHe,1817,4,,0,155,153
Plot  Area,Ready To Move,Cooke Town,5 Bedroom,,2043,6,,1,66,375
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2,2,0,49,46
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,4346,4,1,0,110,450
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464,2,2,1,93,56
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468,3,2,0,54,130
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1555,2,1,1,69,82
Plot  Area,Ready To Move,Munnekollal,6 Bedroom,,1200,4,2,1,3,110
Built-up  Area,Ready To Move,Whitefield,2 BHK,SNadeAr,1150,2,0,1,149,55
Super built-up  Area,19-Oct,Kadubeesanahalli,2 BHK,,970,2,1,1,39,35
Super built-up  Area,18-May,Banashankari,4 BHK,,2500,4,3,1,64,95
Super built-up  Area,Ready To Move,Seetharampalya,2 BHK,Mazler ,1166,2,1,0,99,53
Plot  Area,Ready To Move,Konanakunte,3 Bedroom,Prasa W,2779,3,1,1,139,317
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Palleon,1350,3,2,0,19,58
Built-up  Area,Ready To Move,Mariyannapalya,2 BHK,,900,2,3,0,54,46
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1300,2,2,0,94,52
Built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoersTo,1190,3,1,0,2,55
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1495,2,2,1,70,75
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,Riousd ,1224,2,2,0,102,105
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Mandsi ,1350,2,2,1,65,68
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Mazzo P,940,2,1,0,139,56.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,DwntsAp,1100,2,1,0,67,55
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Sheurre,1300,2,2,0,184,61
Built-up  Area,Ready To Move,Palace Road,3 BHK,,1480,2,0,1,96,145
Super built-up  Area,Ready To Move,Hoodi,2 BHK,,1105,2,2,0,32,46.37
Plot  Area,17-Jun,Sarjapur  Road,3 Bedroom,AztheBr,2600,3,2,1,17,200
Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1517,3,2,0,12,76.3
Built-up  Area,Ready To Move,Horamavu Banaswadi,6 Bedroom,,3800,8,0,1,0,200
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,1615,3,2,0,141,89.75
Super built-up  Area,Ready To Move,MCECHS  layout,3 BHK,,1500,3,2,0,67,65
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1082,3,1,0,194,50.5
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Vaoodar,1365,2,2,0,2,73
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,1000,2,3,1,14,25
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Pu270a ,1392,2,1,1,180,98
Super built-up  Area,18-Apr,Kodigehalli,2 BHK,,1086,2,1,1,158,33.66
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1586,3,3,0,6,93.94
Built-up  Area,Ready To Move,Hennur,2 BHK,,1100,2,1,1,59,60
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1065,2,1,0,33,30.75
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1500,2,1,0,153,120
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2,2,1,197,120
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1975,3,3,1,2,123
Super built-up  Area,Ready To Move,Nelamangala,2 BHK,,820,2,2,0,126,24
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3,2,0,116,110
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,SVdhaig,1223,2,1,0,64,60
Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,,1200,2,1,0,59,65
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Niine J,1200,2,0,1,35,90
Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,665,1,1,1,98,46.08
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1351,2,2,1,169,70
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3,1,0,51,83.87
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,,3900,3,2,0,95,300
Super built-up  Area,18-Nov,Thanisandra,3 BHK,,1588,3,1,1,161,75.55
Carpet  Area,Ready To Move,Amruthahalli,2 BHK,,900,2,1,1,11,60
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3 Bedroom,,440,3,0,1,142,50
Built-up  Area,18-Feb,Harlur,4 Bedroom,,3385,4,,1,135,260
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1370,2,2,1,118,75
Plot  Area,18-Dec,Whitefield,3 Bedroom,,1500,3,1,1,165,71.8
Super built-up  Area,Ready To Move,Pulikeshi Nagar,3 BHK,,2280,3,,1,108,285
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,,1100,3,2,0,44,53
Built-up  Area,Ready To Move,Hoodi,2 BHK,Adion M,1247,2,0,1,133,53
Super built-up  Area,19-Dec,Domlur Layout,3 BHK,,2000,3,2,1,45,200
Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1020.07,2,1,1,129,68.38
Super built-up  Area,19-Dec,Gunjur Palya,3 BHK,,1033,2,2,1,145,32
Built-up  Area,Ready To Move,B Narayanapura,3 BHK,Niidet ,1460,2,3,1,39,73
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2,2,1,139,52.8
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,Maana E,5965,5,,0,36,385
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1141,2,1,1,172,46
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Niareum,2806 - 3019,6,0,0,190,125.5
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,,4200,4,3,1,80,325
Super built-up  Area,18-Jul,Hosa Road,3 BHK,Sosisic,1665,2,3,0,35,125
Super built-up  Area,18-Dec,Kanakapura,2 BHK,GoityEt,1295,2,2,1,113,64
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1230,2,1,1,110,78
Super built-up  Area,Ready To Move,Anand Nagar,3 BHK,,1080,2,2,0,49,75
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,1000,2,1,0,150,60
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,,2400,2,0,1,30,50
Super built-up  Area,19-Dec,Whitefield,1 BHK,Goted U,613 - 648,1,0,0,179,32.79
Super built-up  Area,18-May,Rayasandra,3 BHK,,1708,3,2,0,24,75
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3,2,0,9,115
Super built-up  Area,Ready To Move,Whitefield,4 BHK,T ZedZe,3537,5,3,0,29,210
Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615,1,1,0,61,28.29
Built-up  Area,Ready To Move,Banashankari,3 BHK,Naashi ,1350,2,0,0,184,83
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1430 - 1630,,,0,152,66.4
Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1083,2,1,0,69,32.49
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Srtusi ,1460,2,2,0,125,65
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1084,2,1,1,6,58
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035,2,1,0,40,41.43
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,2400,2,1,0,145,150
Super built-up  Area,Ready To Move,Hosur Road,1 BHK,SLiewce,460,1,1,1,0,21
Super built-up  Area,Ready To Move,Narayanappa Layout,5 BHK,,950,5,,1,167,90
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1285,2,2,1,142,55.9
Super built-up  Area,Ready To Move,1Hanuman Nagar,19 BHK,,2000,16,,0,65,490
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1200,3,2,1,15,78
Built-up  Area,Ready To Move,Raghuvanahalli,2 BHK,Srncykh,1070,2,1,0,39,35
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,2,0,7,140
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697,3,2,0,103,115
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMoryma,1199,2,2,1,145,65
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2300,3,1,0,51,220
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1340,2,3,1,42,64.31
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4,3,1,42,205
Plot  Area,Ready To Move,Jigani,5 Bedroom,,600,5,,1,2,50
Super built-up  Area,Ready To Move,Wilson Garden,2 BHK,Go0ril,1125,2,1,1,126,75
Plot  Area,Ready To Move,Anandapura,2 Bedroom,,1200,2,1,1,171,67
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Srnumum,1050,2,3,0,136,41
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Jaiewke,956,2,1,1,176,49
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,1000,2,2,0,194,30
Built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3,0,1,53,95
Plot  Area,Ready To Move,Kumbhena Agrahara,6 Bedroom,,1200,5,1,0,184,150
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2,3,0,4,89.06
Plot  Area,Ready To Move,NS Palya,6 Bedroom,,1200,7,,1,200,170
Built-up  Area,Ready To Move,Challaghatta,3 BHK,ShanaSp,1639,3,3,1,37,123
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2,1,0,60,61.25
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1200,3,1,0,191,50
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1218,2,1,1,44,73
Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,,920,2,3,0,113,37
Super built-up  Area,Ready To Move,1hwanthpur,3 BHK,IBityin,2559,3,2,1,90,141
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1 BHK,,525,1,1,0,69,26
Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,DSnjh S,1427,2,2,1,66,48.51
Super built-up  Area,18-Apr,Kothannur,3 BHK,,1270,3,2,1,153,45
Built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVovelm,920,2,3,1,68,65
Built-up  Area,Ready To Move,Dommasandra,4 Bedroom,,2700,3,2,0,52,68
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,3 BHK,,1740,3,2,0,13,199
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,,1355,2,,0,91,40
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1530,2,2,1,108,90
Carpet  Area,Ready To Move,Gokula Extension,3 BHK,,1372,2,1,1,187,90
Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,Undge T,2363,5,2,1,44,120
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3895,4,3,1,93,220
Super built-up  Area,20-Jun,Jakkur,3 BHK,SoineC ,1950,3,2,0,166,131
Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,PNncysi,885,2,3,0,115,40
Built-up  Area,Ready To Move,Yelahanka,2 BHK,,600,2,2,1,148,27
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,1270,4,1,0,83,128
Plot  Area,Ready To Move,Vijayanagar,2 Bedroom,,1380,2,0,0,3,225
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,1,161,62
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1130,2,1,0,191,36
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1085,2,2,1,51,43
Built-up  Area,Ready To Move,1hwanthpur,3 BHK,IBityin,1430,3,2,1,197,72
Carpet  Area,18-Dec,Bhoganhalli,4 BHK,Rosha I,1451.5,4,1,0,66,121
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,5 BHK,PeBayle,6200,5,,1,178,720
Super built-up  Area,Ready To Move,AGS Layout,3 BHK,,1490,2,1,0,108,59.6
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 BHK,,1650,4,0,0,77,99
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1286,2,2,0,140,57
Built-up  Area,Ready To Move,KR Garden,2 BHK,Saavear,925,2,2,0,134,63
Super built-up  Area,Ready To Move,Bellandur,4 BHK,Sonyxa ,3016,4,3,1,171,230
Built-up  Area,Ready To Move,Haralur Road,2 BHK,,1000,2,2,0,185,44
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1215,2,2,1,158,39
Plot  Area,Ready To Move,Kanakadasa Layout,4 Bedroom,,1200,3,1,1,23,95
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,Puarent,1336,2,2,0,14,100
Super built-up  Area,Ready To Move,1hwanthpur,1 BHK,IBityin,673,1,1,1,68,36.85
Plot  Area,Ready To Move,Anandapura,2 Bedroom,,1200,2,1,0,15,58
Plot  Area,Ready To Move,Lingarajapuram,6 Bedroom,,600,7,2,1,177,63
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,,1600,3,3,1,143,160
Plot  Area,Ready To Move,Mallathahalli,2 Bedroom,,1200,2,0,1,17,79
Plot  Area,Ready To Move,Indira Nagar,6 Bedroom,,2480,4,1,1,49,750
Super built-up  Area,18-Apr,Jayamahal Extension,3 BHK,,2500,3,,1,49,270
Plot  Area,Ready To Move,Devanahalli,5 Bedroom,,2400,5,3,1,111,100
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,,1143,2,2,1,107,65
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,JRrnauv,1470,2,2,0,29,61.74
Plot  Area,Ready To Move,Laxminarayana Layout,4 Bedroom,,1584,3,2,0,109,145
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Vaoodar,1785,3,2,1,160,94
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2292,3,2,1,27,286
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1460,3,3,0,154,71
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1500,2,3,0,79,80
Plot  Area,Ready To Move,Yelahanka,5 Bedroom,,1200,4,1,0,85,140
Built-up  Area,Ready To Move,Sanjay nagar,5 BHK,,3300,3,,0,166,250
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1230,2,2,0,121,48
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,650,1,1,1,184,20
Super built-up  Area,Ready To Move,Benson Town,2 BHK,,1480,2,,1,72,120
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Menue0,1220,2,1,0,192,43.92
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1570,3,1,0,10,115
Built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3000,3,3,1,177,400
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3,2,0,145,86.91
Plot  Area,Ready To Move,Banagiri Nagar,3 Bedroom,,1350,3,1,0,51,380
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,4000,5,2,0,49,600
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1100,2,0,1,171,68
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,2,1,0,96,87.01
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Salisal,1719,3,2,1,62,116
Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664,1,1,1,2,35
Super built-up  Area,18-Dec,Sonnenahalli,2 BHK,Skacak ,1011,2,1,1,1,50.53
Built-up  Area,Ready To Move,Akshya Nagar,6 Bedroom,,2400,6,0,1,100,130
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,,1680,3,2,0,45,85
Super built-up  Area,Ready To Move,1hwanthpur,2 BHK,VSlistr,704 - 730,2,0,0,26,49.475
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,700,4,2,0,186,110
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Skstark,1520,2,2,1,55,150
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Vancya ,1350,2,2,1,37,53
Super built-up  Area,15-Nov,Kothanur,3 BHK,Somumys,1760,3,,1,42,150
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,875,2,1,0,9,33
Super built-up  Area,Ready To Move,Hennur,2 BHK,Adity T,1231,2,2,1,125,48
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Abeesmi,1174,2,3,0,190,74
Built-up  Area,Ready To Move,Munnekollal,3 BHK,DaniaNe,1560,3,3,0,157,75
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2 BHK,,1464,2,2,1,18,56
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,,2200,3,2,1,49,130
Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,,850,2,2,1,93,55
Built-up  Area,Ready To Move,Sahyadri Layout,3 BHK,Adthm R,1750,3,1,1,107,180
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,NCaveun,2024,3,,1,130,157
Plot  Area,Ready To Move,Mathikere SBM colony,2 Bedroom,,1500,1,0,0,171,160
Plot  Area,Ready To Move,"white field,kadugodi",6 Bedroom,,2100,6,,1,174,275
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2408,4,2,0,87,260
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2,1,1,158,44
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,,2070,3,2,0,186,225
Built-up  Area,18-Dec,Electronic City,2 BHK,,1020,2,1,0,103,29.46
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2,3,1,18,55
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,1575,5,1,0,162,158
Plot  Area,Ready To Move,Kodichikkanahalli,4 Bedroom,,3250,4,1,1,19,180
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1175,2,1,1,80,47
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1030,2,1,1,96,34.5
Super built-up  Area,18-Jul,Hebbal,2 BHK,Mahosya,1440,2,1,1,102,115
Built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1500,2,1,0,183,84
Plot  Area,Ready To Move,Thanisandra,1 Bedroom,,1380,1,1,1,28,62.1
Built-up  Area,Ready To Move,Bagalur,2 BHK,Haows M,1200,2,3,0,21,50
Built-up  Area,Ready To Move,Vinayak Nagar,1 BHK,,705,1,2,1,113,36.5
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,2240,5,2,0,195,155
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,So0sty,1584.01,3,1,1,157,103
Super built-up  Area,Ready To Move,P Krishnappa Layout,3 BHK,Apitea ,1340,3,3,1,14,77
Super built-up  Area,Ready To Move,Green Garden Layout,3 BHK,Mas 2 H,1800,3,2,0,144,70
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,,1200,2,3,0,186,45
Super built-up  Area,18-Nov,Sarjapur  Road,1 BHK,AsastDe,685,1,1,0,73,40
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2,3,0,48,42
Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,ARntyne,1230,2,2,1,73,57
Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,,1200,5,1,0,67,185
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Aaubyya,1125,2,1,0,108,52
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1100,2,1,1,129,54
Plot  Area,18-Aug,Jigani,3 Bedroom,Prllasw,2400,3,2,0,175,149
Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1400,2,2,1,39,41.58
Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,,1200,7,2,1,35,225
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Ceezey ,1858,3,1,1,169,98.3
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,,1260,1,1,1,82,41
Built-up  Area,Ready To Move,Ambedkar Nagar,4 BHK,SoechHa,3530,4,2,1,62,290
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,,1185,2,2,0,154,60
Plot  Area,Ready To Move,RMV 2nd Stage,2 Bedroom,,1200,2,1,0,131,216
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2,1,1,108,58
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,,3436,6,3,0,163,475
Built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1335,3,2,1,85,89
